[10/3/2013 0:45:57] /town aracura
[10/3/2013 0:50:33] /a 4
[10/3/2013 0:50:33] /a 4
[10/3/2013 0:50:33] /a 4
[10/3/2013 0:50:33] /a 4
[10/3/2013 0:50:33] /a 4
[10/3/2013 0:50:33] /a 4
[10/3/2013 0:50:33] /a 4
[10/3/2013 0:50:33] /a 4
[10/3/2013 0:50:33] /a 4
[10/3/2013 0:50:34] /a 4
[10/3/2013 0:50:34] /a 4
[10/3/2013 0:50:34] /a 4
[10/3/2013 0:50:34] /a 4
[10/3/2013 0:50:34] /a 4
[10/3/2013 0:50:34] /a 4
[10/3/2013 0:50:35] /a 4
[10/3/2013 0:50:36] /a 4
[10/3/2013 0:50:36] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:37] /a 4
[10/3/2013 0:50:38] /a 4
[10/3/2013 0:50:38] /a 4
[10/3/2013 0:50:38] /a 4
[10/3/2013 0:50:38] /a 4
[10/3/2013 0:50:38] /a 4
[10/3/2013 0:50:38] /a 4
[10/3/2013 0:50:38] /a 4
[10/3/2013 0:50:38] /a 4
[10/3/2013 0:50:38] /a 4
[10/3/2013 0:50:38] /a 4
[10/3/2013 0:50:38] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:39] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:40] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:41] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:42] /a 4
[10/3/2013 0:50:43] /a 4
[10/3/2013 0:50:43] /a 4
[10/3/2013 0:50:43] /a 4
[10/3/2013 0:50:43] /a 4
[10/3/2013 0:50:43] /a 4
[10/3/2013 0:50:43] /a 4
[10/3/2013 0:50:43] /a 4
[10/3/2013 0:50:43] /a 4
[10/3/2013 0:50:43] /a 4
[10/3/2013 0:50:43] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:44] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:45] /a 4
[10/3/2013 0:50:46] /a 4
[10/3/2013 0:50:46] /a 4
[10/3/2013 0:50:46] /a 4
[10/3/2013 0:50:46] /a 4
[10/3/2013 0:50:46] /a 4
[10/3/2013 0:50:46] /a 4
[10/3/2013 0:50:46] /a 4
[10/3/2013 0:50:47] /a 4
[10/3/2013 0:50:47] /a 4
[10/3/2013 0:50:47] /a 4
[10/3/2013 0:50:47] /a 4
[10/3/2013 0:50:47] /a 4
[10/3/2013 0:50:47] /a 4
[10/3/2013 0:50:47] /a 4
[10/3/2013 0:50:47] /a 4
[10/3/2013 0:50:47] /a 4
[10/3/2013 0:50:48] /a 4
[10/3/2013 0:50:49] /a 4
[10/3/2013 0:50:49] /a 4
[10/3/2013 0:50:49] /a 4
[10/3/2013 0:50:50] /a 4
[10/3/2013 0:50:50] /a 4
[10/3/2013 0:50:50] /a 4
[10/3/2013 0:50:50] /a 4
[10/3/2013 0:50:50] /a 4
[10/3/2013 0:50:51] /a 4
[10/3/2013 0:50:51] /a 4
[10/3/2013 0:50:51] /a 4
[10/3/2013 0:50:51] /a 4
[10/3/2013 0:50:51] /a 4
[10/3/2013 0:50:51] /a 4
[10/3/2013 0:50:51] /a 4
[10/3/2013 0:50:51] /a 4
[10/3/2013 0:50:52] /a 4
[10/3/2013 0:50:52] /a 4
[10/3/2013 0:50:52] /a 4
[10/3/2013 0:50:52] /a 4
[10/3/2013 0:50:52] /a 4
[10/3/2013 0:50:52] /a 4
[10/3/2013 0:50:52] /a 4
[10/3/2013 0:50:53] /a 4
[10/3/2013 0:50:54] /a 4
[10/3/2013 0:50:54] /a 4
[10/3/2013 0:50:55] /a 4
[10/3/2013 0:50:55] /a 4
[10/3/2013 0:50:55] /a 4
[10/3/2013 0:50:55] /a 4
[10/3/2013 0:50:56] /a 4
[10/3/2013 0:50:56] /a 4
[10/3/2013 0:50:56] /a 4
[10/3/2013 0:50:57] /a 4
[10/3/2013 0:50:57] /a 4
[10/3/2013 0:50:57] /a 4
[10/3/2013 0:50:58] /a 4
[10/3/2013 0:50:58] /a 4
[10/3/2013 0:50:58] /a 4
[10/3/2013 0:50:59] /a 4
[10/3/2013 0:50:59] /a 4
[10/3/2013 0:51:0] /a 4
[10/3/2013 0:51:0] /a 4
[10/3/2013 0:51:0] /a 4
[10/3/2013 0:51:1] /a 4
[10/3/2013 0:51:2] /a 4
[10/3/2013 0:51:2] /a 4
[10/3/2013 0:51:2] /a 4
[10/3/2013 0:51:3] /a 4
[10/3/2013 0:51:3] /a 4
[10/3/2013 0:51:8] /a 4
[10/3/2013 0:51:8] /a 4
[10/3/2013 0:51:8] /a 4
[10/3/2013 0:51:8] /a 4
[10/3/2013 0:51:9] /a 4
[10/3/2013 0:51:9] /a 4
[10/3/2013 0:51:9] /a 4
[10/3/2013 0:51:9] /a 4
[10/3/2013 0:51:10] /a 4
[10/3/2013 0:51:38] /a 4
[10/3/2013 0:51:39] /a 4
[10/3/2013 0:51:39] /a 4
[10/3/2013 0:51:39] /a 4
[10/3/2013 0:51:39] /a 4
[10/3/2013 0:51:39] /a 4
[10/3/2013 0:51:39] /a 4
[10/3/2013 0:51:40] /a 4
[10/3/2013 0:51:40] /a 4
[10/3/2013 0:51:40] /a 4
[10/3/2013 0:51:40] /a 4
[10/3/2013 0:51:40] /a 4
[10/3/2013 0:51:40] /a 4
[10/3/2013 0:51:40] /a 4
[10/3/2013 0:51:40] /a 4
[10/3/2013 0:51:41] /a 4
[10/3/2013 0:51:41] /a 4
[10/3/2013 0:51:41] /a 4
[10/3/2013 0:51:41] /a 4
[10/3/2013 0:51:41] /a 4
[10/3/2013 0:51:41] /a 4
[10/3/2013 0:51:41] /a 4
[10/3/2013 0:51:41] /a 4
[10/3/2013 0:51:41] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:42] /a 4
[10/3/2013 0:51:43] /a 4
[10/3/2013 0:51:43] /a 4
[10/3/2013 0:51:43] /a 4
[10/3/2013 0:51:43] /a 4
[10/3/2013 0:51:44] /a 4
[10/3/2013 0:51:44] /a 4
[10/3/2013 0:51:45] /a 4
[10/3/2013 0:51:52] /a 4
[10/3/2013 0:51:53] /a 4
[10/3/2013 0:51:53] /a 4
[10/3/2013 0:51:54] /a 4
[10/3/2013 0:51:54] /a 4
[10/3/2013 0:51:54] /a 4
[10/3/2013 0:51:54] /a 4
[10/3/2013 0:51:55] /a 4
[10/3/2013 0:51:55] /a 4
[10/3/2013 0:51:55] /a 4
[10/3/2013 0:51:58] /a 4
[10/3/2013 0:51:59] /a 4
[10/3/2013 0:52:0] /a 4
[10/3/2013 0:52:0] /a 4
[10/3/2013 0:52:2] /a 4
[10/3/2013 0:52:3] /a 4
[10/3/2013 0:52:3] /a 4
[10/3/2013 0:52:3] /a 4
[10/3/2013 0:52:3] /a 4
[10/3/2013 0:52:4] /a 4
[10/3/2013 0:52:4] /a 4
[10/3/2013 0:52:4] /a 4
[10/3/2013 0:52:4] /a 4
[10/3/2013 0:52:5] /a 4
[10/3/2013 0:52:5] /a 4
[10/3/2013 0:52:5] /a 4
[10/3/2013 0:52:5] /a 4
[10/3/2013 0:52:6] /a 4
[10/3/2013 0:52:15] /town aracura
[10/3/2013 0:52:16] /a 4
[10/3/2013 0:52:16] /a 4
[10/3/2013 0:52:16] /a 4
[10/3/2013 0:52:17] /a 4
[10/3/2013 0:52:17] /a 4
[10/3/2013 0:52:17] /a 4
[10/3/2013 0:52:17] /a 4
[10/3/2013 0:52:17] /a 4
[10/3/2013 0:52:17] /a 4
[10/3/2013 0:52:17] /a 4
[10/3/2013 0:52:17] /a 4
[10/3/2013 0:52:17] /a 4
[10/3/2013 0:52:18] /a 4
[10/3/2013 0:52:18] /a 4
[10/3/2013 0:52:18] /a 4
[10/3/2013 0:52:18] /a 4
[10/3/2013 0:52:18] /a 4
[10/3/2013 0:52:18] /a 4
[10/3/2013 0:52:19] /a 4
[10/3/2013 0:52:19] /a 4
[10/3/2013 0:52:19] /a 4
[10/3/2013 0:52:19] /a 4
[10/3/2013 0:52:19] /a 4
[10/3/2013 0:52:19] /a 4
[10/3/2013 0:52:20] /a 4
[10/3/2013 0:52:20] /a 4
[10/3/2013 0:52:20] /a 4
[10/3/2013 0:52:20] /a 4
[10/3/2013 0:52:21] /a 4
[10/3/2013 0:52:21] /a 4
[10/3/2013 0:52:21] /a 4
[10/3/2013 0:52:21] /a 4
[10/3/2013 0:52:21] /a 4
[10/3/2013 0:52:21] /a 4
[10/3/2013 0:52:22] /a 4
[10/3/2013 0:52:22] /a 4
[10/3/2013 0:52:22] /a 4
[10/3/2013 0:52:23] /a 4
[10/3/2013 0:52:23] /a 4
[10/3/2013 0:52:23] /a 4
[10/3/2013 0:52:24] /a 4
[10/3/2013 0:52:24] /a 4
[10/3/2013 0:52:24] /a 4
[10/3/2013 0:52:24] /a 4
[10/3/2013 0:52:25] /a 4
[10/3/2013 0:52:25] /a 4
[10/3/2013 0:52:25] /a 4
[10/3/2013 0:52:25] /a 4
[10/3/2013 0:52:26] /a 4
[10/3/2013 0:52:26] /a 4
[10/3/2013 0:52:28] /a 4
[10/3/2013 0:52:28] /a 4
[10/3/2013 0:52:29] /a 4
[10/3/2013 0:52:29] /a 4
[10/3/2013 0:52:29] /a 4
[10/3/2013 0:52:29] /a 4
[10/3/2013 0:52:30] /a 4
[10/3/2013 0:52:31] /a 4
[10/3/2013 0:52:31] /a 4
[10/3/2013 0:52:32] /down
[10/3/2013 0:52:33] /a 4
[10/3/2013 0:52:33] /a 4
[10/3/2013 0:52:33] /a 4
[10/3/2013 0:52:37] /a 4
[10/3/2013 0:52:39] /down
[10/3/2013 0:52:39] /a 4
[10/3/2013 0:52:40] /a 4
[10/3/2013 0:52:40] /a 4
[10/3/2013 0:52:41] /up
[10/3/2013 0:52:42] /a 4
[10/3/2013 0:52:43] /a 4
[10/3/2013 0:52:43] /a 4
[10/3/2013 0:52:43] /a 4
[10/3/2013 0:52:43] /a 4
[10/3/2013 0:52:44] /a 4
[10/3/2013 0:52:44] /a 4
[10/3/2013 0:52:44] /a 4
[10/3/2013 0:52:45] /a 4
[10/3/2013 0:52:45] /a 4
[10/3/2013 0:52:46] /a 4
[10/3/2013 0:52:46] /a 4
[10/3/2013 0:52:46] /a 4
[10/3/2013 0:52:48] /a 4
[10/3/2013 0:52:49] /a 4
[10/3/2013 0:52:49] /a 4
[10/3/2013 0:52:50] /a 8
[10/3/2013 0:52:51] /a 4
[10/3/2013 0:52:51] /a 4
[10/3/2013 0:52:52] /a 4
[10/3/2013 0:53:47] /a 2
[10/3/2013 0:53:50] /a 2
[10/3/2013 0:53:56] /a 4
[10/3/2013 0:53:56] /a 4
[10/3/2013 0:53:56] /a 4
[10/3/2013 0:53:56] /a 4
[10/3/2013 0:53:56] /a 4
[10/3/2013 0:53:56] /a 4
[10/3/2013 0:53:56] /a 4
[10/3/2013 0:53:56] /a 4
[10/3/2013 0:53:57] /a 4
[10/3/2013 0:53:57] /a 4
[10/3/2013 0:53:58] /a 4
[10/3/2013 0:53:58] /a 4
[10/3/2013 0:53:58] /a 4
[10/3/2013 0:53:58] /a 4
[10/3/2013 0:53:58] /a 4
[10/3/2013 0:53:58] /a 4
[10/3/2013 0:53:58] /a 4
[10/3/2013 0:53:59] /a 4
[10/3/2013 0:53:59] /a 4
[10/3/2013 0:53:59] /a 4
[10/3/2013 0:53:59] /a 4
[10/3/2013 0:54:0] /a 4
[10/3/2013 0:54:0] /a 4
[10/3/2013 0:54:0] /a 4
[10/3/2013 0:54:1] /a 4
[10/3/2013 0:54:1] /a 4
[10/3/2013 0:54:2] /a 4
[10/3/2013 0:54:2] /a 4
[10/3/2013 0:54:3] /down
[10/3/2013 0:54:6] /up
[10/3/2013 0:54:7] /a 4
[10/3/2013 0:54:7] /a 4
[10/3/2013 0:54:8] /a 4
[10/3/2013 0:54:9] /a 4
[10/3/2013 0:54:9] /a 4
[10/3/2013 0:54:9] /a 4
[10/3/2013 0:54:10] /a 4
[10/3/2013 0:54:10] /a 4
[10/3/2013 0:54:10] /a 4
[10/3/2013 0:54:11] /a 4
[10/3/2013 0:54:11] /a 4
[10/3/2013 0:54:12] /a 4
[10/3/2013 0:54:13] /a 4
[10/3/2013 0:54:15] /a 4
[10/3/2013 0:54:15] /a 4
[10/3/2013 0:54:15] /a 4
[10/3/2013 0:54:16] /a 4
[10/3/2013 0:54:16] /a 4
[10/3/2013 0:54:17] /a 4
[10/3/2013 0:54:17] /a 4
[10/3/2013 0:54:17] /a 4
[10/3/2013 0:54:18] /a 4
[10/3/2013 0:54:20] /a 4
[10/3/2013 0:54:20] /a 4
[10/3/2013 0:54:21] /a 4
[10/3/2013 0:54:21] /a 4
[10/3/2013 0:54:21] /a 4
[10/3/2013 0:54:22] /a 4
[10/3/2013 0:54:22] /a 4
[10/3/2013 0:54:22] /a 4
[10/3/2013 0:54:22] /a 4
[10/3/2013 0:54:24] /a 4
[10/3/2013 0:54:24] /a 4
[10/3/2013 0:54:24] /a 4
[10/3/2013 0:54:28] /a 4
[10/3/2013 0:54:33] /a 4
[10/3/2013 0:54:33] /a 4
[10/3/2013 0:54:34] /a 4
[10/3/2013 0:54:34] /a 4
[10/3/2013 0:54:34] /a 4
[10/3/2013 0:54:35] /a 4
[10/3/2013 0:54:35] /a 4
[10/3/2013 0:54:36] /a 4
[10/3/2013 0:54:36] /a 4
[10/3/2013 0:54:36] /a 4
[10/3/2013 0:54:36] /a 4
[10/3/2013 0:54:37] /a 4
[10/3/2013 0:54:37] /a 4
[10/3/2013 0:54:38] /a 4
[10/3/2013 0:54:53] /a 4
[10/3/2013 0:54:53] /a 4
[10/3/2013 0:54:54] /a 4
[10/3/2013 0:54:54] /a 4
[10/3/2013 0:54:54] /a 4
[10/3/2013 0:54:54] /a 4
[10/3/2013 0:54:54] /a 4
[10/3/2013 0:54:55] /a 4
[10/3/2013 0:54:55] /a 4
[10/3/2013 0:54:56] /a 4
[10/3/2013 0:54:56] /a 4
[10/3/2013 0:54:56] /a 4
[10/3/2013 0:54:57] /a 4
[10/3/2013 0:54:58] /a 4
[10/3/2013 0:54:59] /a 4
[10/3/2013 0:54:59] /a 4
[10/3/2013 0:54:59] /a 4
[10/3/2013 0:55:0] /a 4
[10/3/2013 0:55:0] /a 4
[10/3/2013 0:55:0] /a 4
[10/3/2013 0:55:0] /a 4
[10/3/2013 0:55:1] /a 4
[10/3/2013 0:55:1] /a 4
[10/3/2013 0:55:1] /a 4
[10/3/2013 0:55:3] /a 4
[10/3/2013 0:55:3] /a 4
[10/3/2013 0:55:3] /a 4
[10/3/2013 0:55:4] /a 4
[10/3/2013 0:55:6] /a 4
[10/3/2013 0:55:6] /a 4
[10/3/2013 0:55:10] /a 4
[10/3/2013 0:55:10] /a 4
[10/3/2013 0:55:11] /a 4
[10/3/2013 0:55:11] /a 4
[10/3/2013 0:55:12] /a 4
[10/3/2013 0:55:12] /a 4
[10/3/2013 0:55:12] /a 4
[10/3/2013 0:55:12] /a 4
[10/3/2013 0:55:12] /a 4
[10/3/2013 0:58:9] /m rotworm
[10/3/2013 0:58:19] /r
